Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
19.513,0,7.973127,1601.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.442718,0,0,9.173141,30.087976,0,0,45.05809,-92.95468,1008.1303
19.764,0,8.268428,1600.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1677.3097,-10.297679,0,0,9.076708,29.780977,0,0,45.05809,-92.95468,1008.1303
20.012,0,8.268428,1602,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.297679,0,0,9.076708,29.75774,0,0,45.05809,-92.95468,1007.2364
20.265,0,8.268428,1600.75,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1739.3229,-10.297679,0,0,9.173141,30.097374,0,0,45.05809,-92.95468,1007.2364
20.519,0,8.268428,1602.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1662.5447,-10.297679,0,0,9.076708,29.748455,0,0,45.05809,-92.95468,1007.2364
20.772,0,7.973127,1603.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.442718,0,0,9.076708,29.729902,0,0,45.058094,-92.95468,1006.4977
21.013,0,8.268428,1601.5,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1612.3435,-10.297679,0,0,9.004384,29.529842,0,0,45.058094,-92.95468,1006.4977
21.266,0,7.973127,1600,0,0.97902,29.234798,55.4,0,60.8,62.6,0,1674.3567,1715.6989,-10.442718,0,0,8.920006,29.280548,0,0,45.058094,-92.95468,1006.4977
21.518,0,8.268428,1599.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1653.6855,-10.297679,0,0,9.076708,29.799593,0,0,45.058094,-92.95468,1006.4977
21.772,0,7.973127,1600.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1668.4507,-10.442718,0,0,9.076708,29.785627,0,0,45.058094,-92.95468,1006.4977
22.013,0,7.973127,1598.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-10.442718,0,0,9.076708,29.822895,0,0,45.058105,-92.954636,975.8376
22.264,0,7.973127,1597.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1665.4977,-10.442718,0,0,9.076708,29.836895,0,0,45.058105,-92.954636,975.8376
22.513,0,7.973127,1599.25,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1712.7458,-10.442718,0,0,9.004384,29.571388,0,0,45.058105,-92.954636,975.8376
22.767,0,8.268428,1600,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1739.3229,-10.297679,0,0,9.004384,29.557526,0,0,45.058105,-92.954636,975.8376
23.022,0,7.973127,1600,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1686.1687,-10.442718,0,0,9.076708,29.794937,0,0,45.0581,-92.95464,975.64136
23.273,0,8.268428,1600.5,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1677.3097,-10.297679,0,0,9.173141,30.102076,0,0,45.0581,-92.95464,975.64136
23.514,0,7.973127,1601.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1653.6855,-10.442718,0,0,9.076708,29.762384,0,0,45.0581,-92.95464,975.64136
23.768,0,8.268428,1601.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1656.6385,-10.297679,0,0,9.076708,29.762384,0,0,45.0581,-92.95464,975.64136
24.020,0,7.973127,1600.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1724.5579,-10.442718,0,0,9.076708,29.780977,0,0,45.058105,-92.954636,976.0484
24.266,0,7.973127,1598.5,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1671.4037,-10.442718,0,0,9.076708,29.822895,0,0,45.058105,-92.954636,976.0484
24.523,0,7.973127,1599,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1656.6385,-10.442718,0,0,9.004384,29.576012,0,0,45.058105,-92.954636,976.0484
24.774,0,7.973127,1600,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1612.3435,-10.442718,0,0,9.004384,29.557526,0,0,45.05811,-92.95464,976.0517
25.019,0,8.268428,1600.75,0,0.97902,29.234798,55.4,0,60.8,62.6,0,1674.3567,1692.0747,-10.297679,0,0,8.920006,29.266829,0,0,45.05811,-92.95464,976.0517
25.270,0,7.973127,1599.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-10.442718,0,0,9.173141,30.125605,0,0,45.05811,-92.95464,976.0517
25.525,0,7.973127,1600.75,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1656.6385,-10.442718,0,0,9.004384,29.543678,0,0,45.05811,-92.95464,976.0517
25.764,0,7.973127,1602.5,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1686.1687,-10.442718,0,0,9.004384,29.511415,0,0,45.05811,-92.95464,976.0517
26.014,0,8.268428,1600,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1695.0277,-10.297679,0,0,9.004384,29.557526,0,0,45.05811,-92.954636,976.18634
26.267,0,8.563729,1602.5,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1644.8265,-10.152641,0,0,9.245465,30.301546,0,0,45.05811,-92.954636,976.18634
26.523,0,8.563729,1613.25,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1659.5917,-10.152641,0,0,9.004384,29.314764,0,0,45.05811,-92.954636,976.18634
26.766,0,7.973127,1616,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1680.2627,-10.442718,0,0,9.004384,29.264877,0,0,45.05811,-92.954636,976.18634
27.017,0,7.973127,1617.75,0,0.97902,29.234798,55.4,0,60.8,62.6,0,1674.3567,1703.8867,-10.442718,0,0,8.920006,28.959282,0,0,45.058105,-92.954636,976.31726
27.266,0,8.268428,1613.25,0,0.97902,29.234798,55.4,0,60.8,62.6,0,1674.3567,1635.9675,-10.297679,0,0,8.920006,29.04006,0,0,45.058105,-92.954636,976.31726
27.514,0,7.973127,1598.5,0,0.960498,29.234798,55.4,0,60.8,62.6,0,1674.3567,1730.4639,-10.442718,0,0,8.751248,28.753548,0,0,45.058105,-92.954636,976.31726
27.765,0,8.268428,1568.25,0,0.988281,29.234798,55.4,0,60.8,62.6,0,1674.3567,1656.6385,-10.297679,0,0,9.004384,30.155933,0,0,45.058105,-92.954636,976.31726
28.015,0,8.563729,1555,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1695.0277,-10.152641,0,0,9.076708,30.65717,0,0,45.058098,-92.95463,975.9123
28.264,0,10.630836,1362.5,0,1.473822,29.234798,55.4,0,60.8,62.6,0,1674.3567,1662.5447,-9.137378,0,0,13.428225,51.762608,0,0,45.058098,-92.95463,975.9123
28.514,0,12.993244,1155.25,0,1.426194,29.234798,55.4,0,60.8,62.6,0,1674.3567,1624.1555,-7.9770756,0,0,12.994278,59.075886,0,0,45.058098,-92.95463,975.9123
28.768,0,14.76505,1049,0,1.378566,29.234798,55.4,0,60.8,62.6,0,1674.3567,1730.4639,-7.106849,0,0,12.560332,62.88683,0,0,45.058098,-92.95463,975.9123
29.020,0,14.76505,1025.5,0,1.061046,29.234798,55.4,0,60.8,64.4,0,1674.3567,1656.6385,-7.106849,0,0,9.670013,49.525112,0,0,45.058094,-92.954636,975.6957
