Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
97.995,8.908049,18.82353,98.6,13.288545,1923,21.747992,8.627451,64.4,0.39215687,86,66.2,1.8740151,-8.122113,33.474125,91.424805,0.2566315,9.536124,45.05673,-92.95927
98.994,22.177937,22.352942,98.6,9.449632,1552.25,24.233477,5.490196,64.4,0,86,66.2,1.0483342,-10.007604,14.981912,50.692024,0.27402616,9.895307,45.056694,-92.9594
99.996,44.96706,17.254902,98.6,7.973127,1354.75,24.233477,4.7058825,64.4,1.5686275,86,66.2,0.7139963,-10.732793,7.3891397,28.646317,0.28794655,10.289885,45.056652,-92.959526
100.996,44.838093,27.058823,98.6,9.449632,1451,23.612104,5.098039,64.4,2.3529413,86,66.2,0.7385496,-10.007604,7.2203827,26.135263,0.29474184,10.476039,45.056618,-92.95965
101.997,36.72925,19.607843,109.4,8.563729,1520.5,22.990734,5.098039,64.4,0.39215687,91.4,66.2,0.7168626,-10.442718,8.582492,29.645655,0.2998937,10.606913,45.056583,-92.95977
102.992,16.64623,21.568628,109.4,12.402642,1736.25,22.990734,5.882353,64.4,0,91.4,66.2,1.0879432,-8.557226,18.93693,57.283745,0.30767468,10.703138,45.056545,-92.9599
104.001,16.64623,21.568628,109.4,12.402642,1736.25,22.990734,5.882353,64.4,0,91.4,66.2,1.0879432,-8.557226,18.93693,57.283745,0.30767468,10.703138,45.05651,-92.96003
104.994,16.64623,21.568628,109.4,12.402642,1736.25,22.990734,5.882353,64.4,0,91.4,66.2,1.0879432,-8.557226,18.93693,57.283745,0.30767468,10.703138,45.05648,-92.960144
105.994,41.633686,27.843138,109.4,8.85903,1322.75,22.990734,4.7058825,64.4,0,91.4,66.2,0.88736856,-10.297679,7.5714774,30.06332,0.31578,10.899421,45.056446,-92.96024
106.994,41.633686,27.843138,109.4,8.85903,1322.75,22.990734,4.7058825,64.4,0,91.4,66.2,0.88736856,-10.297679,7.5714774,30.06332,0.31578,10.899421,45.056416,-92.960335
107.997,41.633686,27.843138,109.4,8.85903,1322.75,22.990734,4.7058825,64.4,0,91.4,66.2,0.88736856,-10.297679,7.5714774,30.06332,0.31578,10.899421,45.056393,-92.96042
108.993,41.185127,16.862745,109.4,7.087224,1301.25,19.262506,4.7058825,64.4,0,91.4,66.2,0.54082847,-11.167906,6.4127607,25.883223,0.3305945,11.266412,45.056374,-92.96048
109.995,41.185127,16.862745,109.4,7.087224,1301.25,19.262506,4.7058825,64.4,0,91.4,66.2,0.54082847,-11.167906,6.4127607,25.883223,0.3305945,11.266412,45.05637,-92.96053
111.010,41.185127,16.862745,109.4,7.087224,1301.25,19.262506,4.7058825,64.4,0,91.4,66.2,0.54082847,-11.167906,6.4127607,25.883223,0.3305945,11.266412,45.056366,-92.96059
111.996,21.501991,18.82353,109.4,8.268428,1121.25,10.563311,4.7058825,64.4,0,91.4,66.2,0.6207108,-10.587755,6.7358747,31.551907,0.34035593,11.430894,45.056366,-92.960625
112.998,21.501991,18.82353,109.4,8.268428,1121.25,10.563311,4.7058825,64.4,0,91.4,66.2,0.6207108,-10.587755,6.7358747,31.551907,0.34035593,11.430894,45.056374,-92.96064
114.011,21.501991,18.82353,109.4,8.268428,1121.25,10.563311,4.7058825,64.4,0,91.4,66.2,0.6207108,-10.587755,6.7358747,31.551907,0.34035593,11.430894,45.05638,-92.9607
115.006,2.3409312,47.058823,109.4,28.348896,2366.75,4.9709697,15.294118,64.4,9.411765,91.4,66.2,1.8337673,-0.7251887,29.115557,64.611046,0.34458733,10.9095,45.056385,-92.96079
115.995,5.823361,41.17647,109.4,24.214682,2393.75,16.155651,16.470589,64.4,9.411765,91.4,66.2,3.3062582,-2.755717,38.0385,83.46006,0.35534766,10.636223,45.056362,-92.9609
116.996,5.823361,41.17647,109.4,24.214682,2393.75,16.155651,16.470589,64.4,9.411765,91.4,66.2,3.3062582,-2.755717,38.0385,83.46006,0.35534766,10.636223,45.05631,-92.961006
118.002,4.075715,63.92157,109.4,36.617325,2938.75,20.505249,19.607843,64.4,11.372549,91.4,66.2,5.0567446,3.335868,68.9817,123.2836,0.36457914,10.193711,45.056236,-92.961136
119.063,6.46614,47.843136,109.4,29.825401,2640.75,28.583075,17.254902,62.6,10.588235,91.4,66.2,5.056553,0,60.608917,120.54336,0.37790832,10.02769,45.056156,-92.96127
120.052,7.4109273,53.333332,109.4,32.18781,2670.75,31.68993,17.254902,62.6,10.196078,91.4,66.2,4.9037046,1.1603019,58.630203,115.29812,0.38673282,9.97831,45.056072,-92.961426
121.054,14.061004,35.686275,109.4,23.033478,2205.75,34.796787,13.725491,62.6,7.8431373,95,64.4,3.1001298,-3.335868,33.93091,80.79291,0.39948007,10.025118,45.05598,-92.961586
122.051,12.893474,26.27451,109.4,21.261671,2177,36.6609,7.45098,62.6,0,95,64.4,2.7527974,-4.2060943,38.985744,94.05492,0.41197798,10.106857,45.05589,-92.96175
123.051,58.295418,21.568628,109.4,10.040234,1839.25,36.6609,10.588235,62.6,5.490196,95,64.4,1.260979,-9.717528,8.622663,24.622643,0.4173303,10.214734,45.055794,-92.961914
124.051,22.186558,29.80392,109.4,20.67107,2026.5,37.282272,10.980392,62.6,5.882353,95,64.4,2.3865466,-4.49617,23.040138,59.7135,0.42844412,10.36011,45.055695,-92.96208
