# StartTime = 08/06/2024 06:26:12.0367 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
116.004,16.86,36.62,2255.00,67.73,29.53,1003.46,20.39,59.00,9.80,60.80,0.00,4.76,3.48,0.56,55.08,128.28,1.63,18.74,45.04,-93.02,268.90
117.007,15.31,35.44,2250.75,68.35,29.53,1006.34,7.84,59.00,6.27,60.80,0.00,4.61,2.90,1.16,61.22,142.85,1.64,18.70,45.04,-93.02,268.90
118.015,33.09,21.26,2260.50,68.35,29.53,1008.86,14.90,59.00,9.02,60.80,0.00,2.76,-4.06,0.59,28.32,65.80,1.66,18.77,45.04,-93.02,268.96
118.997,23.86,27.17,2271.25,68.35,29.53,1009.76,25.49,59.00,10.98,60.80,0.00,3.54,-1.16,0.00,39.27,90.82,1.67,18.81,45.04,-93.02,268.87
120.018,10.55,46.66,2426.00,68.97,29.53,1012.46,7.84,59.00,7.45,60.80,0.00,6.16,8.41,0.57,89.62,194.03,1.70,18.66,45.04,-93.02,268.66
121.004,24.78,23.03,2265.25,69.59,29.53,1014.08,10.59,59.00,7.06,60.80,0.00,3.22,-3.19,0.97,38.51,89.30,1.72,18.72,45.04,-93.02,268.73
122.013,24.93,20.38,2262.25,69.59,29.53,1015.16,5.88,59.00,0.00,60.80,0.00,2.66,-4.50,0.40,38.27,88.85,1.74,18.74,45.04,-93.02,268.80
123.016,108.66,18.01,2313.50,69.59,29.53,1016.24,23.14,59.00,10.59,60.80,0.00,2.35,-5.66,0.00,8.78,19.94,1.76,18.90,45.04,-93.02,268.66
124.010,20.32,30.42,2289.25,69.59,29.53,1016.78,11.37,59.00,7.06,60.80,0.00,4.06,0.44,0.00,46.96,107.75,1.77,18.91,45.04,-93.02,268.96
125.011,34.44,27.17,2390.00,70.21,29.53,1017.50,26.67,59.00,10.98,60.80,0.00,3.59,-1.16,0.48,27.95,61.43,1.79,18.98,45.04,-93.02,268.89
126.048,34.51,17.72,2296.00,70.84,29.53,1018.94,7.45,59.00,6.27,60.80,0.00,2.32,-5.80,0.53,28.14,64.38,1.82,19.12,45.04,-93.02,269.05
127.100,39.94,18.60,2306.75,70.84,29.53,1019.12,11.37,59.00,0.78,60.80,0.00,2.46,-5.37,0.00,24.32,55.37,1.84,19.20,45.04,-93.02,269.07
128.008,89.96,7.97,2286.50,70.84,29.53,1019.66,13.73,59.00,7.45,60.80,0.00,1.06,-10.59,0.00,10.80,24.80,1.86,19.35,45.04,-93.02,269.04
129.008,34.67,22.44,2298.75,70.84,29.53,1019.84,6.27,59.00,1.18,60.80,0.00,2.96,-3.48,0.00,28.01,64.01,1.87,19.43,45.04,-93.02,269.14
130.000,113.16,7.68,2289.25,70.84,29.53,1020.20,5.88,59.00,1.57,60.80,0.00,1.02,-10.73,0.00,8.58,19.69,1.89,19.58,45.04,-93.02,269.12
131.002,48.97,13.58,2274.75,70.21,29.53,1020.56,7.84,59.00,0.00,60.80,0.00,1.80,-7.83,-0.66,19.66,45.39,1.92,19.80,45.04,-93.02,269.04
132.000,48.97,13.58,2274.75,70.21,29.53,1020.56,7.84,59.00,0.00,60.80,0.00,1.80,-7.83,-0.66,19.66,45.39,1.92,19.80,45.04,-93.02,268.89
133.016,21.87,25.99,2296.00,69.59,29.53,1021.10,16.08,59.00,9.41,60.80,0.00,3.42,-1.74,-0.49,43.62,99.79,1.95,19.96,45.04,-93.02,268.89
133.997,22.99,21.26,2266.00,70.21,29.53,1021.10,9.41,59.00,6.27,60.80,0.00,2.82,-4.06,0.11,41.88,97.07,1.97,19.98,45.04,-93.02,268.88
134.997,52.26,11.22,2276.50,70.21,29.53,1021.28,11.76,59.00,9.41,60.80,0.00,1.47,-8.99,0.59,18.42,42.50,1.98,20.06,45.04,-93.02,269.28
